record_id,split,total,N,V,A,L,R
100,train,2271,2237,1,33,0,0
101,train,1862,1859,0,3,0,0
102,train,103,99,4,0,0,0
103,train,2083,2081,0,2,0,0
104,test,165,163,2,0,0,0
105,train,2567,2526,41,0,0,0
106,validation,2027,1507,520,0,0,0
107,test,59,0,59,0,0,0
108,train,1759,1738,17,4,0,0
109,train,2528,0,38,0,2490,0
111,validation,2124,0,1,0,2123,0
112,train,2537,2535,0,2,0,0
113,train,1787,1787,0,0,0,0
114,train,1873,1820,43,10,0,0
115,validation,1951,1951,0,0,0,0
116,train,2411,2301,109,1,0,0
117,train,1534,1533,0,1,0,0
118,train,2277,0,16,96,0,2165
119,test,1987,1543,444,0,0,0
121,train,1861,1859,1,1,0,0
122,validation,2474,2474,0,0,0,0
123,train,1517,1514,3,0,0,0
124,validation,1579,0,47,2,0,1530
200,train,2598,1742,826,30,0,0
201,train,1852,1624,198,30,0,0
202,train,2115,2060,19,36,0,0
203,train,2972,2528,444,0,0,0
205,train,2644,2570,71,3,0,0
207,test,1754,0,105,107,1457,85
208,train,2577,1585,992,0,0,0
209,validation,3004,2620,1,383,0,0
210,train,2615,2421,194,0,0,0
212,test,2747,922,0,0,0,1825
213,test,2884,2639,220,25,0,0
214,train,2257,0,256,0,2001,0
215,train,3360,3193,164,3,0,0
217,train,406,244,162,0,0,0
219,test,2153,2082,64,7,0,0
220,train,2046,1952,0,94,0,0
221,train,2427,2031,396,0,0,0
222,train,2268,2060,0,208,0,0
223,validation,2573,2028,473,72,0,0
228,train,2052,1687,362,3,0,0
230,train,2255,2254,1,0,0,0
231,train,1570,314,2,1,0,1253
232,train,1779,0,0,1382,0,397
233,train,3066,2229,830,7,0,0
234,train,2702,2699,3,0,0,0
